Time,Volts
0.05,2.81760944227104
0.1,5.38651822266451
0.15,10.0108150360962
0.2,7.62730368666673
0.25,5.23628123246255
0.3,2.9470770510783
0.35,6.06612452081516
0.4,8.16963571516052
0.45,3.00077818595212
0.5,5.10842625712758
0.55,7.32460033066209
0.6,7.78194682497677
0.65,5.84144356579096
0.7,6.96058393740567
0.75,3.85372637252581
0.8,3.77902443073199
0.85,7.16722148537385
0.9,6.72258383912813
0.95,8.19197695313385
1,6.44770944206205
1.05,5.0162295406326
1.1,5.01341113436729
1.15,6.47207291651947
1.2,5.50575322293597
1.25,6.37433346980865
1.3,5.86462677898446
1.35,9.76337957768245
1.4,4.6051585925049
1.45,3.95422452540353
1.5,2.08780849191753
1.55,5.72879499217851
1.6,2.10941344547373
1.65,4.84502335908933
1.7,5.6875541086079
1.75,2.57499230829108
1.8,6.06818425617177
1.85,2.40943729757
1.9,3.77418155343378
1.95,6.9310187968856
2,3.87887983430572
2.05,2.68983030479553
2.1,5.24860323514032
2.15,6.53918580241745
2.2,0.767717825675716
2.25,5.90200283217056
2.3,0.263007716032535
2.35,2.78757004423307
2.4,5.21755785647726
2.45,5.390007198249
2.5,5.59355669870314
2.55,5.95460844983647
2.6,12.2040144719637
2.65,5.15853040660051
2.7,4.51388124577651
2.75,7.01855491226988
2.8,3.37159771736335
2.85,4.38469957895346
2.9,2.67404524808478
2.95,2.69688952129244
3,6.62080046559734
